SentenceNumber,Chapter,Section,Kernewek,English
380,12,MiscReview,"Hwi yw parys lemmyn, dell hevel.","You are ready now, it seems."
381,12,MiscReview,Pyth yw hemma? Lyver kembrek yw.,What's this? It's a Welsh book.
382,13,Review,An chiow y'n dre ma yw pur goth.,The houses in this town are very old.
383,13,Review,"Kanoryon an eglos yw da. Gwir, kanoryon dha yns.","The church singers are good. True, good singers they are."
384,13,Review,Nyns yw leuryow an chi salow lemmyn.,The floors of the house are not safe now.
385,13,Review,An del y'n koes yw sygh.,The leaves in the wood are dry.
386,13,Review,Yma delennow hir war an skorrenn verr na.,There are long leaves on that short branch.
387,13,Review,Gwydh an koes ma yw koth.,The trees of this wood are old.
388,13,Review,Yma skorrennow bras war an wydhenn na.,There are big branches on that tree.
389,13,Review,Chambours an ostel ma yw byghan.,The bedrooms of this hotel are small.
390,13,Review,Yma gervaow yn penn an lyver.,There are word lists at the end of the book.
391,13,Review,"Fleghes dha yns, sur.",They are good children certainly.
392,13,Review,An lyvrow yw gwerthys.,The books are sold.
393,13,Review,"Myrghes Tamsin yw teg, pur deg.","Tamsin's daughters are pretty, very pretty."
394,13,MiscReview,Yw an losow byw hwath?,Are the plants alive still?
395,13,MiscReview,"Hemm yw da lowr, meur ras.","This is good enough, thanks."
396,13,MiscReview,A nyns eus neppyth gesys?,Isn't there anything left?
397,13,MiscReview,Nyns yw hemma dhe les lemmyn.,This is no use now.
398,13,MiscReview,Yma padellow plos lowr y'n gegin!,There are enough dirty saucepans in the kitchen!
399,13,MiscReview,Eus stamp genes mar pleg? Eus!,"Have you a stamp, please? Yes!"
400,13,MiscReview,"Py par stamp eus genes, ytho?",What sort of stamp do you have then?
401,13,MiscReview,Pow Frynk yw pow pur vras ha pur deg.,France is a very big and beautiful country.
402,13,MiscReview,Py traow yw gwerthys lemmyn?,What things are sold now?
403,13,MiscReview,A wodhowgh hwi oll konvedhes hemma?,Do you all understand this?
404,13,MiscReview,"Ni yw sallow lemmyn, dell dybav.","We are safe now, I think."
405,13,MiscReview,Nyns eus nebonan gesys yn hel an dre.,There is no-one left in the town hall.
406,13,MiscReview,"Fatell yw an bara na? brav yw, meur ras.","What is that bread like? It's fine, thanks."
407,13,MiscReview,"Pyth yw an draow ma, an re byghan.","What are these things, the small ones?"
408,13,MiscReview,"Kentrow yns, dell hevel.","They are nails, it seems."
409,13,MiscReview,Avonyow Almayn yw hir.,The rivers of Germany are long.
410,13,MiscReview,"Feusik yns, a nyns yns i.","They are lucky, aren't they."
411,13,MiscReview,"Trevow Breten Vyghan yw teg, pur deg.","The towns of Britttany are beautiful, very beautiful."
412,13,MiscReview,Del an kesten yw gras,The leaves of the chestnut are large.
413,13,MiscReview,An gestenenn goth na yw bras.,That old chestnut is large.
414,13,MiscReview,Dorn flogh yw byghan.,The hand of a child is small.
415,14,Review,Yma tri fysk war an plat na.,There are three fish on that plate.
416,14,Review,Onan yw brithel.,One is a mackerel.
417,14,Review,Yma teyr gwydhenn y'n lowarth.,There are three trees in the garden.
418,14,Review,Yma diw gestenenn ena.,There are two chestnut trees there.
419,14,Review,An arghans yw tanow lemmyn.,Money is scarce now.
420,14,Review,Nyns eus arghans lowr rag boes.,There is not enough money for food.
421,14,Review,"An dhew wour na yw parow, dell hevel.","Those two men are equals, it seems."
422,14,Review,"Mes sur, nyns yw an dhiw venyn parow.","But certainly, the two women are not equals."
423,14,Review,Oll an mebyl yw diw voes koth ha peder kador.,All the furniture is two old tables and four chairs.
424,14,Review,Yma unn karr a-rag an chi.,There is one car in front of the house.
425,14,Review,Eus ostel yn kres an dre?,Is there an hotel in the town centre?
426,14,Review,Eus! Yma pymp ostel ena.,Yes! There are five hotels there.
427,14,Review,Kemmer teyr henter ytho!,Take three nails then!
428,14,Review,Yma unnek mowes ha trydhek maw oll warbarth.,There are eleven girls and thirteen boys all together.
429,14,Review,"Yma deg hwegynn gesys, dell dybav.","There are ten sweets left, I think."
430,14,Review,Yma unn garrek pur vras ena.,There is one very large rock there.
431,14,Review,Ottena teyr delenn rudh war an leur.,Look there are three red leaves on the ground.
432,14,Review,Yma peswar stamp gesys y'n lyver.,There are four stamps left in the book.
433,14,Review,Ugens lyver yw gwerthys lemmyn.,Twenty books are sold now.
434,14,Review,Eus hwetek plat byghan war an lestrier?,Are there sixteen small plates on the dresser?
435,14,Review,I yw tri flogh fol.,They are three foolish children.
436,14,MiscReview,Del an gwydh ma yw tanow.,The leaves of these trees are thin.
437,14,MiscReview,Eus boes lowr gesys rag an ki?,Is there enough food left for the dog?
438,14,MiscReview,Eus! Yma boes war blat y'n gegin,Yes! There is food on a plate in the kitchen.
439,14,MiscReview,"An erva yw hir, re hir.","The word list is long, too long."
440,14,MiscReview,"Pyth yw an re na, an tri thra dhu na ena? Ny wonn!","What are those, those three black things there? I don't know."
441,14,MiscReview,"Dohajydh da, Maria. Fatla genes?","Good afternoon, Mary. How are you?"
442,14,MiscReview,"Brav, meur ras.","Fine, thanks."
443,14,MiscReview,Ni yw seyth kaner oll warbarth.,We are seven singers altogether.
444,14,MiscReview,Fatell yw an dhew garr?,What are the two cars like?
445,14,MiscReview,Onan yw rudh hag onan yw du.,One is red and one is black.
446,14,MiscReview,An lovan ma yw re verr. Eus onan hir genes?,This rope is too short. Have you a long one?
447,14,MiscReview,An dhiw gador ma yw an re poes.,These two chairs are the heavy ones.
448,14,MiscReview,Piw yw an re na - an dus koth?,Who are those - the old people?
449,14,MiscReview,An gour yw tas-gwynn Lowena mes ny wonn piw yw an venyn.,The man is Lowena's grandfather but I don't know who the woman is.
450,14,MiscReview,Py par del yw an re ma?,What sort of leaves are these?
451,14,MiscReview,"Del derow yns, dell dybav.","Oak leaves, I think."
452,14,MiscReview,Yma anwoes war ewnter Tamsin.,Tamsin's uncle has a cold.
453,14,MiscReview,Nyns yw homma da.,This is not good.
454,15,Review,Py eur yw hi lemmyn?,What time is it now?
455,15,Review,Eth eur marnas ugens mynysenn yw hi.,It's twenty to eight.
456,15,Review,Kwarter wosa deg eur yw hi.,It's a quarter past ten.
457,15,Review,Unnek eur poran yw hi.,It's exactly eleven o'clock.
458,15,Review,Teyr mynysenn warn ugens dhe hwegh eur yw hi.,It's twenty-three minutes to six.
459,15,Review,Pymp eur hanter yw hi.,It's half past five.
460,15,Review,Hanter dydh poran yw hi.,It's exactly midday.
461,15,Review,A-dro dhe gwarter wosa naw eur yw hi.,It's about a quarter past nine.
462,15,Review,"Dhe by eur yth yw an kuntelles, mar pleg?","At what time is the meeting, please?"
463,15,Review,"Dhe seyth eur hanter, dell dybav.","At half past seven, I think."
464,15,Review,"Dhe by eur yth yw an nessa kyttrin dhe Druru, mar pleg?","At what time is the next bus to Truro, please?"
465,15,Review,Nyns eus kyttrin dhe Druru kyns peder eur.,There is no bus to Truro before four o'clock.
466,15,Review,Dhe by eur yth yw an nessa prys boes?,At what time is the next meal?
467,15,Review,Ny wonn.,I don't know.
468,15,MiscReview,Hemm yw kerdh hir mes brav yw,This is a long walk but it's grand.
469,15,MiscReview,Yw an li parys?,Is lunch ready?
470,15,MiscReview,Yw. Yma hi war an voes y'n gegin.,Yes. It's on the kitchen table.
471,15,MiscReview,Py par diwes eus dhe brys koen?,What kind of drink is there at dinner?
472,15,MiscReview,Yma po korev po gwin gans an goen.,There is beer or wine with the dinner.
473,15,MiscReview,Duw genes Tom - dha weles wosa prys te.,Goodbye Tom - see you after tea.
474,15,MiscReview,Fatell yw karr Mrs Trewartha?,What is Mrs Trewartha's car like?
475,15,MiscReview,"Pur skav yw ev, dell hevel.","It's very fast, it seems."
476,15,MiscReview,Eus golow lowr rag an redyans?,Is there enough light for the reading?
477,15,MiscReview,Nag eus. Re dewl yw hi.,No. It's too dark.
478,15,MiscReview,Yma spas lowr y'n le na lemmyn.,There is enough room in that place now.
479,15,MiscReview,Gour kloppek yw ev.,He is a lame man.
480,15,MiscReview,An paper ma yw plos.,This paper is dirty.
481,15,MiscReview,Py par korev yw da?,What kind of beer is good?
482,15,MiscReview,"Korev kernewek, sur.","Cornish beer, of course."
483,15,MiscReview,To an chi yw rudh.,The roof of the house is red.
484,15,MiscReview,Kerdh hir yw dhe'n eglos.,It's a long walk to the church.
485,16,Review,Ple'ma Yowann?,Where is John?
486,16,Review,Y'n lowarth (yma ev).,In the garden (he is).
487,16,Review,Ple'ma Tamsin?,Where is Tamsin?
488,16,Review,Y'n gegin (yma hi).,In the kitchen (she is).
489,16,Review,Ple'ma an karr?,Where is the car?
490,16,Review,Y'n karrji (yma ev).,In the garage (it is).
491,16,Review,Ple'ma gweder bras?,Where is there a large mirror?
492,16,Review,Y'n hel (yma onan).,In the hall (there is one).
493,16,Review,Ple'ma'n skathow?,Where are the boats?
494,16,Review,Y'n porth (ymons i).,In the harbour (they are).
495,16,Review,Ple'ma spisti Mr Pennros?,Where is Mr Penrose's grocery shop?
496,16,Review,Yn kres an dre (yma ev).,In the town centre (it is).
497,16,Review,Ple'ma an byskadoryon ytho?,Where are the fishermen then?
498,16,Review,Y'n skath (ymons i).,On board the boat (they are).
499,16,MiscReview,Ottena ewnter Morwenna; gour da yw ev. ,There's Morwenna's uncle; he's a good man.
500,16,MiscReview,"Henn yw gow, sur.","That's a lie, certainly."
501,16,MiscReview,Yma fordh dre gres an dre.,There's a road through the town centre.
502,16,MiscReview,A nyns eus kanstell y'n gegin?,Isn't there a basket in the kitchen?
503,16,MiscReview,A ny wodhesta konvedhes hemma?,Don't you understand this?
504,16,MiscReview,"Gonn, sur lowr.","I do, sure enough."
505,16,MiscReview,"Re vyghan yw an spas ma, re gul.","This space is too small, too narrow."
506,16,MiscReview,Yma an re na omma dhe eth eur dell vydh usys,Those (people) are here at eight o'clock usually.
507,16,MiscReview,"An gibell yw pur vras, pur hir.","The bath is very large, very long."
508,16,MiscReview,An Gresenn Gernewek yw le da ha dhe les yw hi rag tus Kernow.,The Cornish Centre is a good place and it is useful for the people of Cornwall.
509,16,MiscReview,Eus lyvrow genowgh hwi oll?,Have you all got books?
510,16,MiscReview,"Yma niverow war an paper ma. Pyth yns i, a wodhesta?","There are numbers on this paper. What are they, do you know?"
511,16,MiscReview,Na wonn. Ny wonn pyth yns.,"No, I don't know what they are."
512,16,MiscReview,Py podigow yw glann? An re ma?,Which pots are clean? These?
513,16,MiscReview,"A nyns yw henna tarow y'n pras na? Yw, dell hevel.","Isn't that a bull in that field? Yes, it seems."
514,16,MiscReview,"Berrheans an lyver ma yw dhe les, dell dybav.","The abridgement of this book is useful, I think."
515,16,MiscReview,Eus amanenn war an bara? Eus!,Is there butter on the bread? Yes!
516,16,MiscReview,Tri flat yw terrys.,Three plates are broken.
517,16,MiscReview,Teyr mynysenn ha'n boes yw parys,Three minutes and the food is ready.
518,16,MiscReview,"Py eur yw hi lemmyn, mar pleg?","What time is it now, please?"
519,16,MiscReview,Deg mynysenn dhe beder eur poran.,Ten minutes to four exactly.
520,17,Review,Yma tri den ha peswar ugens yn keur an chapel.,There are eighty- three people in the chapel choir
521,17,Review,Yma pymp tavern warn ugens y'n dre.,There are twenty-five inns in the town
522,17,Review,Yma deg den warn ugens y'n teylu bras na.,There are thirty persons in that large family.
523,17,Review,A-dro dhe gans lyver yw gwerthys lemmyn.,About a hundred books are sold now.
524,17,Review,Hanter kans milder yw an fordh dhe Druru.,The road to Truro is fifty miles.
525,17,Review,Hanter peswar warn ugens yw par dhe dhewdhek.,Half of twenty-four is equal to twelve.
526,17,Review,Yma dewdhek flogh ha tri ugens y'n skol na. re vyghan yw hi martesen.,There are seventy-two children in that school. It is too small perhaps.
527,17,Review,Pymp chi ha peswar ugens yw chiow nowydh.,Eighty-five houses are new houses.
528,17,Review,Yma dew gi ha dew ugens a-ji dhe'n gresenn.,There are forty-two dogs in the centre.
529,17,Review,"Teyr benyn warn ugens, peswar gour warn ugens hag unnek flogh yw etek den ha dew ugens warbarth.","Twenty-three women, twenty-four men and eleven children is fifty-eight people altogether."
530,17,MiscReview,An donsyow bretonek ma yw brav.,Those Breton dances are grand.
531,17,MiscReview,'Bro Goth' yw kan an vro.,'Bro goth' is the song of the country.
532,17,MiscReview,Fatell yw pronter an chapel?,What is the chapel preacher like?
533,17,MiscReview,"Nyns yw ev re dha, dell hevel","He isn't too good, it seems."
534,17,MiscReview,Yma hwegh den warn ugens y'n kuntelles a-ji dhe hel an dre.,There are twenty-six people in the meeting in the town hall.
535,17,MiscReview,"Kemmer an ganstell, mar pleg!","Take the basket, please!"
536,17,MiscReview,"Fatla genes lemmyn, Gari?","How are you now, Gary?"
537,17,MiscReview,"Da lowr, meur ras, mes yma anwoes warnav, dell dybav.","Well enough, thanks, but I've got a cold, I think."
538,17,MiscReview,Py flogh yw mab Mrs Olver?,Which child is Mrs Olver's son?
539,17,MiscReview,Ottena! An maw moen na ryb an daras.,There look! That thin boy next to the door.
540,17,MiscReview,Pyth yw rag koen?,What's for supper?
541,17,MiscReview,"Ny wonn hwath, pysk martesen.","I don't know yet, fish perhaps."
542,17,MiscReview,Dhe by eur yw li y'n ostel ma?,At what time is lunch in this hotel?
543,17,MiscReview,Dhe hanter dydh poran.,At midday exactly.
544,17,MiscReview,Py par aval yw hemma?,What kind of apple is this?
545,17,MiscReview,Aval 'Mamm-wynn an Gov' yw ev.,It's a Granny Smith apple.
546,17,MiscReview,Deves yw tanow war an voen.,Sheep are scarce on the down.
547,17,MiscReview,A wodhesta konvedhes hemma?,Do you understand this?
548,17,MiscReview,Na wonn! Arta mar pleg.,No! Again please.
549,17,MiscReview,Nyns yw an bargen-tir ma pur vras.,This farm is not very big.
550,17,MiscReview,Fatell yw an gewer lemmyn?,What's the weather like now?
551,17,MiscReview,"Oer, niwlek ha tewl yw hi.","It's very cold, misty and dark."
552,17,MiscReview,Yma peder kador warn ugens gesys a-ji dhe hel an eglos.,There are twenty-four chairs left in the church hall.
553,17,MiscReview,"I yw pur feusik, dell dybav.","They are very lucky, I think."
554,17,MiscReview,"Ty yw kar Mona, a nyns yw henna gwir?","You are a relation of Mona, isn't that true?"
555,17,MiscReview,Yw! My yw keniterow Mona.,Yes! I'm Mona's cousin.
556,18,Examples,ryb an amari,by the cupboard
557,18,Examples,a-rag an amari,in front of the cupboard
558,18,Examples,a-dryv an amari,behind the cupboard
559,18,Examples,war an amari,on the cupboard
560,18,Examples,y'n amari,in the cupboard
561,18,Examples,yn-dann an voes,under the table
562,18,Examples,orth an tan,at the fire
563,18,Examples,der an pras,through the meadow
564,18,Examples,gans an teylu,with the family
565,18,Examples,Ple'ma an gath?,Where is the cat?
566,18,Examples,Ryb an fos (yma hi).,Beside the wall (it is).
567,18,Examples,Ple'ma Jori?,Where is George?
568,18,Examples,Orth an voes (yma ev).,At the table (he is).
569,18,Examples,Ple'ma an hanafow?,Where are the cups?
570,18,Examples,Y'n gegin (ymons i).,In the kitchen (they are).
571,18,Examples,Ple'ma an karr?,Where is the car?
572,18,Examples,A-rag an karrji (yma an karr).,In front of the garage (is the car).
573,18,Examples,Ple'ma an eskisyow?,Where are the shoes?
574,18,Examples,Yn-dann an gweli (ymons i),Under the bed (they are).
575,18,Examples,Ple'ma an lowarth?,Where is the garden?
576,18,Examples,A-dryv an chi (yma ev).,Behind the house (it is).
577,18,Examples,Ple'ma Maria?,Where is Mary?
578,18,Examples,Orth an voes (yma hi).,At the table (she is).
579,18,Examples,Usi an gath y'n lowarth?,Is the cat in the garden?
580,18,Examples,Usi! Yma hi ena.,Yes! She is there.
581,18,Examples,A nyns usi an boes war an voes hwath?,Isn't the food on the table yet?
582,18,Examples,Nag usi! Nyns usi ev ena hwath.,No! It's not there yet.
583,18,Examples,Usi an lyvrow omma?,Are the books here?
584,18,Examples,Esons i war an voes?,Are they on the table?
585,18,Examples,Esons/Nag esons.,They are/They are not.
586,18,Review,Ple'ma an lyver melyn?,Where is the yellow book?
587,18,Review,War an voes (yma) martesen.,On the table (it is) perhaps.
588,18,Review,Ple'ma an arghantti?,Where is the bank?
589,18,Review,Yn kres an dre yma ev.,It's in the town centre.
590,18,Review,Ple'ma an gador lemmyn?,Where is the chair now?
591,18,Review,Orth an fos yma hi.,It's against the wall.
592,18,Review,"Ple'ma an bollys, mar pleg?","Where are the bowls, please?"
593,18,Review,"Y'n amari ymons, dell dybav.","They are in the cupboard, I think."
594,18,Review,Usi hwoer Peder y'n skol na?,Is Peter's sister in that school?
595,18,Review,Usi! Yma hi ena gans Peder.,Yes! She's there with Peter.
596,18,Review,Usi an lost a-rag an hel?,Is the queue in front of the hall?
597,18,Review,Usi! Hag yma lost hir ryb an hel ynwedh.,Yes! And there is a long queue beside the hall too.
598,18,Review,Eus lost rag an kyttrin?,Is there a queue for the bus?
599,18,Review,Nag eus! Nyns eus nebonan ena.,No! There's no one there.
600,18,Review,Eus kuntelles omma lemmyn?,Is there a meeting here now?
601,18,Review,"Eus! yma, dell hevel.","Yes! There is, it seems."
602,18,Review,A nyns usi an lyver y'n argh-lyvrow na?,Isn't the book in that bookcase?
603,18,Review,Nag usi! Nyns usi ev ena.,No! It's not there.
604,18,Review,A nyns usi an bleujennow genes?,Haven't you got the flowers? (literally Aren't the flowers with you?)
605,18,Review,Nag esons! Nyns esons.,No! They are not.
606,18,Review,Ymons i gans an vamm.,Mother has them. (literally They are with the mother.)
607,18,Review,Ple'ma an ki? Usi ev y'n lowarth?,Where is the dog? Is he in the garden?
608,18,Review,Usi! Hag yma an gath ena ynwedh.,Yes! And the cat is there also.
609,18,Review,Esons i ena warbarth ytho?,Are they there together then?
610,18,Review,Nag esons! Yma an ki war an leur mes yma an gath y'n wydhenn.,No! The dog is on the ground but the cat is in the tree.
611,18,MiscReview,Kres oy yw melyn.,The middle of an egg is yellow.
612,18,MiscReview,"Kemmer an dornleow, mar pleg","Take the handles, please."
613,18,MiscReview,Ottomma gerva verr.,Here's a short word list.
614,18,MiscReview,"An erva ma yw hir lowr, dell dybav.","This word list is long enough, I think"
615,18,MiscReview,Fatell yw an eskisyow ma ytho?,How are these shoes then?
616,18,MiscReview,Re vras yns.,They are too big.
617,18,MiscReview,"Pur ughel yw tour an eglos, a nyns yw ev?","The church tower is very high, isn't it?"
618,18,MiscReview,Ottena klokk an eglos!,"Look there, the church clock!"
619,18,MiscReview,Teyr eur poran yw hi.,It's three o'clock exactly.
620,18,MiscReview,Py folenn yw nessa?,Which page is next?
621,18,MiscReview,Folenn niver nownsek yw an nessa folenn.,Page number nineteen is the next page.
622,18,MiscReview,Pyth yw an bleujennow ma?,What are these flowers?
623,18,MiscReview,Lili yns.,They are lilies
624,18,MiscReview,"An keur yw parys lemmyn, dell hevel.","The choir is ready now, it seems."
625,18,MiscReview,Yma dew dhen ha dew ugens y'n kuntelles. Hemm yw niver da rag kuntelles a'n par ma.,There are forty-two people in the meeting. This is a good number for a meeting of this kind.
626,18,MiscReview,Oyow bryjys yw da rag hansel.,Boiled eggs are good for breakfast.
627,19,Examples,Meur a win yw re.,Much wine is too much.
628,19,Examples,Yma meur a voestiow da y'n dre.,There are many good restaurants in town.
629,19,Examples,Broyow pals yw boghosek.,Many countries are poor.
630,19,Examples,"Lies karr yw re skav, dell dybav.","Many cars are too fast, I think."
631,19,Examples,Nebes tus yw kevoethek.,Few people are rich.
632,19,Examples,Ottomma nebes keus ragos!,Here is some cheese for you!
633,19,Review,Nebes fordhow y'n ynys yw ledan lowr mes meur a fordhow ena yw re gul.,Few roads on the island are wide enough but many roads there are too narrow.
634,19,Review,Yma meur a orses gell yn Amerika.,There are lots of brown bears in America.
635,19,Review,Nyns eus meur a gommolennow lemmyn.,There are not many clouds now.
636,19,Review,Yma meur a wydhennw ha meur a vleujennow yn lowarth an chi bras na.,There are many trees and many flowers in the garden of that big house.
637,19,Review,Pyskadoryon bals y'n porth ma yw boghosek.,Many fishermen in this harbour are poor.
638,19,Review,Yma kanoryon bals yn keur an chapel.,There are many singers in the chapel choir.
639,19,Review,Tus bals yw re dew.,Many people are too fat.
640,19,Review,"Lies ostel yw gwag, dell hevel.","Many hotels are empty, it seems."
641,19,Review,A nyns eus lies aval gesys?,Aren't there lots of apples left?
642,19,Review,"Lies gerva yw re hir, dell dybav.","Many word lists are too long, I think."
643,19,MiscReview,Ple'ma an tri faper?,Where are the three papers?
644,19,MiscReview,War an voes ymons.,They are on the table.
645,19,MiscReview,Ple'ma an gever ytho?,Where are athe goats then?
646,19,MiscReview,Y'n pras a-dryv drehevyans a-dryv an bargen-tir ymons martesen.,They are in the field behind the farm building perhaps.
647,19,MiscReview,Yma an vamm-wynn orth an fenester gans an tas-gwynn.,Grandmother is at the window with grandfather.
648,19,MiscReview,"Oyow bryjys yw bryntin, meur ras.","Boiled eggs are fine, thanks."
649,19,MiscReview,Yma dewdhek lyver ha dew-ugens y'n argh-lyvrow.,There are fifty-two books in the bookcase.
650,19,MiscReview,Pyth yw an ynysow ma?,What are these islands.
651,19,MiscReview,Ynysow Syllan yns.,They are the Isles of Scilly.
652,19,MiscReview,Yma hwetek den ha peswar ugens y'n eglos warbarth gans an pronter.,There are ninety-six people in the church together with the parson.
653,19,MiscReview,An dhiw gador warn ugens yw parys a-ji dhe'n hel.,The twenty-two chairs are ready inside the hall.
654,19,MiscReview,"Py eur yw hi lemmyn, mar pleg?","What time is it now, please?"
655,19,MiscReview,Trydhek mynysenn wosa diw eur poran yw hi.,It's thirteen minutes past two o'clock exactly.
656,19,MiscReview,Dhe by eur yth yw an tren dhe Aberplymm?,At what time is the train to Plymouth?
657,19,MiscReview,Dhe beder eur marnas kwarter yw ev.,It's at quarter to four.
658,19,MiscReview,"A-dro dhe unn eur yw hi lemmyn, dell dybav.","It's about one o'clock now, I think."
659,19,MiscReview,Yma an plasenn y'n amari byghan.,The records are in the small cupboard.
660,19,MiscReview,Dornleow an darasow yw plos.,The door handles are dirty.
661,19,MiscReview,Lavrek an maw nay w re hir ha re ledan.,The boy's trousers are too long and too wide.
662,19,MiscReview,Pur goth yw an tavern ma.,This inn is very old.
663,19,MiscReview,"Ev yw moen lowr, sur.","He is thin enough, certainly."
664,19,MiscReview,Nyns eus platow lowr.,There aren't enough plates.
665,19,MiscReview,"Hwi yw pur lowen, dell vydh usys.","You are very happy, as usual."
666,19,MiscReview,"Ni yw pur doemm, sur!","We are very hot, sure!"
667,19,MiscReview,"Skorr an gwydh yw terrys, a nyns yns i?","The branches of the trees are broken, aren't they?"
668,19,MiscReview,Nos dha ytho!,Good night then!
669,19,MiscReview,"An yeth frynkek yw kewsys y'n pow ma, a nyns yw hi?","The French language is spoken in this country, isn't it?"
670,19,MiscReview,"Piw yw honna, an venyn voen na orth an voes?","Who is that, that slim woman at the table?"
671,19,MiscReview,"Tamsin yw hi, myrgh Mr ha Mres Angell.","She's Tamsin, Mr ans Mrs Angell's daughter."
672,19,MiscReview,Py chambour yw an nessa dhe'n lowarth a-rag?,Which bedroom is nearest to the front garden?
673,19,MiscReview,"Pyth yns i, mar pleg, an puskes ma?","What are they, please, these fish?"
674,19,MiscReview,Brithyli yns.,They are mackerel.
675,20,Examples,"Kemmer an lyver ma, mar pleg!","Take this book, please!"
676,20,Examples,Igor e! folenn ugens.,Open it! Page twenty.
677,20,Examples,Meur ras. Dege e lemmyn!,Thank you. Shut it now!
678,20,Examples,"Ro an lyver dhe Sou, mar pleg!","Give the book to Sue, please!"
679,20,Examples,"Pys e, po hi, a igeri an lyver dhe folenn ugens ha lenn an kynsa linenn!","Ask him, or her, to open the book at page twenty and read the first line!"
680,20,Examples,Gwra an keth tra gans nebonan arall!,Do the same thing with someone else!
681,20,Examples,Lavar dhymm! ,Tell me!
682,20,Examples,Ro dhymm!,Give me!
683,20,Examples,Pysi neppyth dhiworth nebonan.,Ask someone for something.
684,20,Examples,Pysi nebonan a wul neppyth.,Ask someone to do something.
685,20,Review,"Dege an daras, mar pleg, yeyn yw hi!","Shut the door, please, it's cold!"
686,20,Review,Gwra e lemmyn!,Do it now!
687,20,Review,Lenn an lavarow!,Read out the phrases!
688,20,Review,Ro an arghans dhe Beder!,Give the money to Peter!
689,20,Review,Kemmerewgh an re ma!,Take these!
690,20,Review,Skrifewgh hanow an lyver war gynsa linen an folenn!,Write the name of the book on the first line of the page!
691,20,Review,Pys e diworth Margh!,Ask Mark for it!
692,20,Review,Pys Helen a ri e dhe Margh!,Ask Helen to give it to Mark!
693,20,Review,"Lavar dhymm, pyth yw hemma!","Tell me, what is this!"
694,20,Review,Gwrewgh e warbarth!,Do it together!
695,20,Review,Igor an fenester po dege an daras! Re wynsek yw hi!,Open the window or close the door! It's too windy!
696,20,Review,Lennewgh an lavar warbarth!,Read the sentence together!
697,20,Review,"Ke dhe'n fenester, mar pleg!","Go to the window, please!"
698,20,Review,Dewgh orth an tan! Oer yw hi!,Come to the fire it's very cold!
699,20,Review,Kemmerewgh oll dorn nebonan!,Everyone take someone's hand!
700,20,MiscReview,"Kres trey yw le bysi, dell vydh usys, mes kres an dre ma yw gwag.","A town centre is usually a busy place, but this town centre is empty."
701,20,MiscReview,"Nyns eus par dhe'n gour ma, dell dybav.","This man has no equal, I think."
702,20,MiscReview,An diogyon gernewek yw an kynsa a-ji dhe'n varghas.,The Cornish farmers are the first inside the market.
703,20,MiscReview,Lavarow lowr yw lowr.,Enough words are enough.
704,20,MiscReview,Meur a lavarow yw flows.,Much speech is nonsense.
705,20,MiscReview,"Eus arghans lowr genes, Tom?","Have you enough money, Tom?"
706,20,MiscReview,"Nyns eus, Maria, ro dhymm nebes peunsow, mar pleg!","No, Mary, give me a few pounds please!"
707,20,MiscReview,"Myttin da, Yowann. Fatla genes?","Good morning, John. How are you?"
708,20,MiscReview,"Da lowr, meur ras, mes yma anwoes poes warnav.","Well enough, thanks, but I have a heavy cold."
709,20,MiscReview,Pyth yw an blasenn ma? Piw yw an kaner?,What is that record? Who is the singer?
710,20,MiscReview,Dornla an ganstell ma yw terrys.,The handle of this basket is broken.
711,20,MiscReview,A wodhesta konvedhes an lavar ma?,Do you understand this expression?
712,20,MiscReview,"Na wonn! Arta, mar pleg!","No! Again, please!"
713,20,MiscReview,Piw yw pronter an eglos ma?,Who is the vicar of this church?
714,20,MiscReview,Mr Le'ti yw an pronter omma.,Mr Laity is the vicar here.
715,21,Review,Drehevyans an skol ma yw koth.,This school building is old.
716,21,Review,Nyns ov koth na nyns ov yowynk.,I am not old nor am I young.
717,21,Review,"Kowethes Maria os, dell dybav.","You are a friend of Mary's, I think."
718,21,Review,Nyns yw an boesti ma onan da.,This restaurant is not a good one.
719,21,Review,On ni parys lemmyn?,Are we ready now?
720,21,Review,Py lies owgh hwi oll warbarth?,How many are you altogether?
721,21,Review,Yns i ensamplow da?,Are they good examples?
722,21,Review,A nyns yns i kernewek?,Aren't they Cornish?
723,21,MiscReview,Fatell yw an mebyl y'n chi na?,What's the furniture like in that house?
724,21,MiscReview,Py arghantti yw an nessa?,Which bank is the nearest?
725,21,MiscReview,"Feusik on ni, sur.","We are lucky, certainly."
726,21,MiscReview,Yma unn chi a-dryv an sinema; chi Mr Pollglas yw ev.,There is a certain house behind the cinema; it's Mr Pollglas's house.
727,21,MiscReview,Kemmer tri hwegynn!,Take three sweets!
728,21,MiscReview,Piw yw an gwettha flogh?,Who is the worst child?
729,21,MiscReview,"Margh yw, deell dybav.","Mark is, I think."
730,21,MiscReview,"Py eur yw hi, mar pleg?","What time is it, please?"
731,21,MiscReview,Eth eur poran yw hi.,It's exactly eight o'clock.
732,21,MiscReview,Fatla genes an myttin ma?,How are you this morning?
733,21,MiscReview,Nyns ov yn poynt da. Yma anwoes poes warnav.,I'm not well. I have a heavy cold.
734,21,MiscReview,"Na gewgh, mar pleg!","Don't go, please!"
735,21,MiscReview,An re na yw boghosek. Tiogyon gernewek yns.,Those (people) are poor. They are Cornish farmers.
